longitude,latitude,name,phone,dates_open,state,city
-86.482,32.36,Gunter Hill,334.872.9554,all year,AL,Montgomery
-85.147,31.777,White Oak Creek,334.687.3101,all year,AL,Eufaula
-86.77,32.338,Prairie Creek,334.418.4919,all year,AL,Lowndesboro
-87.26,34.02,Clear Creek,205.489.5111/334.832.4470,mid mar-mid oct,AL,Jasper
-87.807,32.81,Jennings Ferry,205.372.1217,all year,AL,Akron
-87.32,34.1,Corinth,205.489.5111/334.832.4470,mid mar-late oct,AL,Double Springs
-87.55,31.622,Isaac Creek,251.282.4254,all year,AL,Camden
-88.304,33.235,Pickensville,205.373.6328,all year,AL,Carrollton
-87.389,32.116,East Bank/Millers Ferry,334.682.4191,all year,AL,Camden
-85.214,32.977,Amity,334.499.2404,all year,AL,Lanett
-87.349,33.45,Burchfield Branch Park,205.497.9828,all year,AL,Adger
-88.144,31.746,Service,251.754.9338,all year,AL,Silas
-87.879,32.634,Forkland/McConnico Creek,334.289.5530,all year,AL,Demopolis
-85.014,32.186,Bluff Creek,334.000.0000,all year,AL,Pittsview
-85.113,31.644,Hardridge Creek,334.585.5945,all year,AL,Abbeville
-87.274,32.141,Chilatchee Creek,334.573.2562,early mar-mid nov,AL,Alberta
-87.01,32.327,Six Mile Creek,334.872.9554,early jan-mid sep,AL,Selma
-87.297,34.119,Houston,205.489.5111/334.832.4470,mid mar-late oct,AL,Houston
-88.319,31.064,Citronelle Lakeview RV Park,251.866.9647,all year,AL,Citronelle
-86.318,30.998,Florala State Park,334.858.6425,all year,AL,Florala
-85.56,33.72,Big Oak Gap Hunter Camp,256.463.2272/334.832.4470,all year,AL,Heflin
-88.16,31.856,Lenoir Landing - Coffeeville Lake,251.754.9338,all year,AL,Toxey
-87.44,32.884,Payne Lake East Side,205.926.9765/334.832.4470,all year,AL,Duncanville
-86.022,34.042,Noccalula Falls Campground,256.543.7412,,AL,Gadsden
-146.937,64.469,Salcha River State Rec Area,,,AK,Salcha
-149.46,68.5,Galbraith Lake - Dalton Hwy,,,AK,
-146.214,61.138,Valdez Glacier,907.873.4058,,AK,Valdez
-149.728,60.479,Quartz Creek,907.224.3374/907.743.9500,early jun-late aug,AK,Cooper Landing
-149.497,60.636,Tenderfoot Creek,907.224.3374/907.743.9500,early jun-late aug,AK,Moose Pass
-151.269,60.293,Johnson Lake State Rec Area,907.262.5581,,AK,Kasilof
-143.868,62.729,Porcupine Creek State Rec Area,907.822.3973,,AK,Slana
-151.668,60.051,Ninilchik State Rec Area,907.262.5581,,AK,Ninilchik
-147.795,61.798,Matanuska Glacier State Rec Area,,,AK,Sutton
-149.148,61.409,Eklunta - Chugach State Park,907.345.5014,,AK,Chugiak
-148.909,60.794,Black Bear,907.783.3242/907.743.9500,,AK,Girdwood
-149.57,61.307,Eagle River - Chugach State Park,907.345.5014,,AK,Eagle River
-149.256,60.751,Bertha Creek,907.783.3242/907.743.9500,,AK,Hope
-149.274,61.61,Finger Lake State Rec Area,907.745.3975,,AK,Wasilla
-149.822,61.558,Rocky Lake State Rec Area,907.317.9094.,,AK,Wasilla
-148.894,63.73,Riley Creek - Denali National Park,800.622.7275,,AK,
-135.207,57.062,Sawmill Creek,907.747.4236/907.225.3101,,AK,Sitka
-145.174,61.665,Squirrel Creek State Rec Area,907.745.3975,,AK,Copper Center
-151.812,59.843,Stariski State Rec Area,,,AK,Anchor Point
-149.576,63.671,Teklanika  River - Denali National Park,800.622.7275,,AK,Healy
-142.839,63.325,Tok River State Rec Area,907.451.2405,,AK,Tok
-147.257,65.192,Upper Chatanika River State Rec Area,907.451.2695,,AK,Fairbanks
-148.88,60.786,Williwaw,907.783.3242/907.743.9500,early jun-late aug,AK,Girdwood
-131.684,55.445,Last Chance,907.225.2148/907.225.3101,mid may-late aug,AK,Ketchikan
-152.36,57.831,Fort Abercrombie State Park,907.486.6339,,AK,Kodiak
-111.481,33.464,Lost Dutchman State Park,480.982.4485,all year,AZ,Apache Junction
-111.823,36.039,Desert View - Grand Canyon National Park,928.638.7888,,AZ,Grand Canyon
-111.765,34.515,Clear Creek,928.203.7501/928.527.3600,,AZ,Camp Verde
-111.203,33.732,Cholla,928.467.3201/602.225.5201,,AZ,Roosevelt
