longitude,latitude,name,phone,dates_open,state,city
-92.875,42.953,Ackley Creek County Park,641.756.3490,,IA,Marble Rock
-93.724,41.738,Acorn Valley - Saylorville Lake,515.276.0429,early jun-late aug,IA,Des Moines
-94.643,41.498,Adair City Park,641.742.3751,,IA,Adair
-92.21,43.12,Adolph Munson Park,,,IA,New Hampton
-92.348,43.09,Airport Lake Park,,,IA,New Hampton
-96.556,42.832,Akron City Park,,,IA,Akron
-94.926,41.711,Albert the Bull CG,712.563.3856,,IA,Audubon
-92.313,42.88,Alcock Park,319.882.4742,early may-late oct,IA,Frederika
-96.005,42.998,Alton Roadside Park,,,IA,Alton
-94.247,43.052,Ambrose Call State Park,515.295.3669,early may-late sep,IA,Algona
-93.609,42.026,Ames Bandshell City Park,,,IA,Ames
-95.131,43.366,Arnolds Park City Park,712.332.2341,,IA,Arnolds Park
-95.59,41.432,Arrowhead Park,712.485.2295,,IA,Neola
-93.289,41.814,Ashton Wildwood Park,,,IA,Baxter
-91.968,40.768,Austin County Park,,,IA,Keosauqua
-91.56,42.616,Backbone State Park,563.924.2527,all year,IA,Dundee
-91.411,42.447,Baileys Ford,563.927.3410,,IA,Manchester.
-90.953,42.56,Bankston Park,563.556.6745,,IA,Holy Cross
-92.787,42.583,Beaver Meadows Co Park,319.278.4237,,IA,Parkersburg
-93.236,42.768,Beeds Lake State Park,641.456.2047,all year,IA,Hampton
-90.423,42.247,Bellevue State Park,563.872.4019,all year,IA,Bellevue
-93.889,42.34,Bells Mills County Park,515.832.9570,,IA,Stratford
-92.151,41.386,Belva - Deer Rec Area,641.622.3757,,IA,Sigourney
-90.922,41.746,Bennett Park,563.886.6930,,IA,Bennett
-91.918,42.162,Benton City  -  Fry Area,319.472.3318,,IA,Vinton
-91.852,40.725,Bentonsport,319.293.3589,,IA,Bentonsport
-93.386,42.526,Bessman-Kemp Co Park,,,IA,Alden
-91.226,40.952,Big Hollow Creek Park,319.753.8260,,IA,Pleasant Grove
-92.434,42.556,Big Woods Lake,319.266.6813,,IA,Cedar Falls
-96.326,42.306,Bigelow County Park,712.946.7114,,IA,Salix
-92.478,42.563,Black Hawk County Park,319.433.7275,,IA,Cedar Falls
-95.017,42.292,Black Hawk State Park,712.657.8712,all year,IA,Lake View
-91.212,43.044,Bloody Run County Park,563.245.1516,,IA,Marquette
-93.685,41.701,Bob Shetler - Saylorville Lake,515.276.0873,early may-late sep,IA,Des Moines
-93.398,40.708,Bobwhite State Park,641.873.4670,,IA,Allerton
-95.363,41.396,Botna Bend County Park,712.741.5465,all year,IA,Hancock
-93.04,42.236,Brekke Memorial Park,,,IA,Union
-93.012,40.876,Bridgeview - Rathbun Lake,641.724.3062,early may-late sep,IA,Moravia
-93.802,42.432,Briggs Woods Park,515.832.9570,,IA,Webster City
-91.85,41.224,Brinton Timber,,,IA,Brighton
-96.326,42.306,Browns Lake  -  Bigelow Park,712.946.7114,,IA,Salix
-96.326,42.306,Browns Lake Bigelow Park,712.946.7114,,IA,Salix
-93.983,42.394,Brushy Creek  State Rec Area,515.543.8298,all year,IA,Lehigh
-92.869,40.85,Buck Creek - Rathbun Lake,641.724.3206,early may-late sep,IA,Moravia
-91.209,42.879,Buck Creek County Park,,,IA,
-95.338,42.884,Buena Vista Co Park,712.295.7985,,IA,Linn Grove
-91.687,42.471,Buffalo Creek Area,,,IA,Winthrop
-91.542,42.287,Buffalo Creek County Park,319.892.6450,,IA,Coggon
-90.745,41.454,Buffalo Shores County Park,563.328.3281,,IA,Buffalo
